Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 07:07:41 PM, 0.00, 0.00, 871.99, 0.00, 26.73, 0, 8, 40
2024_05_16 - 07:07:42 PM, 0.00, 0.00, 872.02, 0.00, 26.83, 0, 8, 40
2024_05_16 - 07:07:44 PM, 0.00, 0.00, 872.02, 0.00, 26.83, 0, 8, 40
2024_05_16 - 07:07:53 PM, 0.00, 0.00, 872.02, 0.00, 26.83, 0, 8, 40
2024_05_16 - 07:07:56 PM, 0.00, 0.00, 872.02, 0.00, 26.83, 0, 8, 40
2024_05_16 - 07:07:59 PM, 0.00, 0.00, 872.02, 0.00, 26.83, 0, 8, 40
2024_05_16 - 07:08:00 PM, 0.00, 0.00, 871.95, 0.00, 26.90, 0, 8, 40
2024_05_16 - 07:08:02 PM, 0.00, 0.00, 871.95, 0.00, 26.90, 0, 8, 40
2024_05_16 - 07:08:10 PM, 0.00, 0.00, 871.95, 0.00, 26.90, 0, 8, 40
2024_05_16 - 07:08:14 PM, 0.00, 0.00, 871.95, 0.00, 26.90, 0, 8, 40
2024_05_16 - 07:08:17 PM, 0.00, 0.00, 871.95, 0.00, 26.90, 0, 8, 40
2024_05_16 - 07:08:18 PM, 0.00, 0.00, 872.00, 0.00, 26.84, 0, 10, 40
2024_05_16 - 07:08:20 PM, 0.00, 0.00, 872.00, 0.00, 26.84, 0, 10, 40
2024_05_16 - 07:08:28 PM, 0.00, 0.00, 872.00, 0.00, 26.84, 0, 10, 40
2024_05_16 - 07:08:31 PM, 0.00, 0.00, 872.00, 0.00, 26.84, 0, 10, 40
2024_05_16 - 07:08:34 PM, 0.00, 0.00, 872.00, 0.00, 26.84, 0, 10, 40
2024_05_16 - 07:08:35 PM, 0.00, 0.00, 872.00, 0.00, 27.01, 0, 8, 40
2024_05_16 - 07:08:37 PM, 0.00, 0.00, 872.00, 0.00, 27.01, 0, 8, 40
2024_05_16 - 07:08:46 PM, 0.00, 0.00, 872.00, 0.00, 27.01, 0, 8, 40
2024_05_16 - 07:08:49 PM, 0.00, 0.00, 872.00, 0.00, 27.01, 0, 8, 40
2024_05_16 - 07:08:52 PM, 0.00, 0.00, 872.00, 0.00, 27.01, 0, 8, 40
2024_05_16 - 07:08:53 PM, 0.00, 0.00, 872.04, 0.00, 27.08, 0, 8, 40
2024_05_16 - 07:08:55 PM, 0.00, 0.00, 872.04, 0.00, 27.08, 0, 8, 40
2024_05_16 - 07:09:04 PM, 0.00, 0.00, 872.04, 0.00, 27.08, 0, 8, 40
2024_05_16 - 07:09:07 PM, 0.00, 0.00, 872.04, 0.00, 27.08, 0, 8, 40
2024_05_16 - 07:09:10 PM, 0.00, 0.00, 872.04, 0.00, 27.08, 0, 8, 40
2024_05_16 - 07:09:11 PM, 0.00, 0.00, 872.04, 0.00, 27.12, 0, 8, 40
2024_05_16 - 07:09:13 PM, 0.00, 0.00, 872.04, 0.00, 27.12, 0, 8, 40
