Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_10 - 02:02:29 AM,26.71,47.64,885.88,648.23,11.39,10.00,22.00,32.00

2024_07_10 - 02:03:29 AM,26.75,47.56,885.88,643.71,11.54,10.00,22.00,32.00

2024_07_10 - 02:04:29 AM,26.88,47.22,885.86,642.67,11.17,6.00,14.00,26.00

2024_07_10 - 02:05:29 AM,26.89,47.22,885.90,642.51,11.16,12.00,20.00,30.00

2024_07_10 - 02:06:30 AM,26.84,47.24,885.85,639.08,11.09,10.00,18.00,28.00

2024_07_10 - 02:07:30 AM,26.94,47.06,885.88,640.10,10.91,14.00,24.00,34.00

2024_07_10 - 02:08:30 AM,26.95,47.04,885.88,640.74,10.66,14.00,26.00,36.00

2024_07_10 - 02:09:31 AM,26.96,46.91,885.87,638.06,10.53,12.00,20.00,30.00

2024_07_10 - 02:10:31 AM,26.96,46.91,885.85,638.06,10.51,6.00,16.00,26.00

2024_07_10 - 02:11:31 AM,26.94,47.04,885.81,640.97,10.23,8.00,18.00,30.00

2024_07_10 - 02:12:31 AM,26.98,46.91,885.82,638.21,9.97,8.00,22.00,46.00

2024_07_10 - 02:13:32 AM,27.03,46.83,885.83,639.82,9.89,6.00,14.00,24.00

2024_07_10 - 02:14:32 AM,26.94,46.89,885.79,633.14,9.71,8.00,20.00,30.00

2024_07_10 - 02:15:32 AM,27.05,46.79,885.78,636.27,9.71,10.00,18.00,28.00

2024_07_10 - 02:16:33 AM,26.92,47.00,885.78,637.45,9.51,6.00,12.00,24.00

2024_07_10 - 02:17:33 AM,27.01,46.85,885.76,636.36,9.38,12.00,18.00,28.00

2024_07_10 - 02:18:33 AM,26.92,46.96,885.77,635.66,9.17,10.00,20.00,30.00

2024_07_10 - 02:19:33 AM,27.05,46.65,885.76,632.85,9.22,6.00,14.00,24.00

2024_07_10 - 02:20:34 AM,27.06,46.65,885.76,631.95,9.09,8.00,18.00,30.00

2024_07_10 - 02:21:34 AM,27.06,46.65,885.77,631.95,9.05,12.00,26.00,36.00

2024_07_10 - 02:22:34 AM,27.05,46.63,885.73,628.44,8.90,6.00,18.00,28.00

2024_07_10 - 02:23:35 AM,26.96,46.90,885.73,625.38,8.89,6.00,14.00,24.00

2024_07_10 - 02:24:35 AM,26.94,46.89,885.75,623.37,8.96,6.00,12.00,24.00

2024_07_10 - 02:25:35 AM,27.05,46.67,885.73,622.18,8.72,10.00,20.00,30.00

2024_07_10 - 02:26:35 AM,26.86,47.14,885.71,623.91,8.78,6.00,16.00,26.00

2024_07_10 - 02:27:36 AM,26.94,46.95,885.71,625.11,8.71,8.00,24.00,34.00

2024_07_10 - 02:28:36 AM,26.89,47.02,885.68,627.05,8.52,10.00,20.00,32.00

2024_07_10 - 02:29:36 AM,26.92,46.99,885.68,626.39,8.51,12.00,24.00,34.00

2024_07_10 - 02:30:37 AM,26.92,46.97,885.67,626.29,8.41,4.00,18.00,28.00

2024_07_10 - 02:31:37 AM,26.92,46.97,885.69,626.29,8.40,12.00,24.00,34.00

2024_07_10 - 02:32:37 AM,26.98,46.82,885.66,626.92,8.33,4.00,16.00,26.00

2024_07_10 - 02:33:37 AM,27.07,46.71,885.67,628.54,8.32,10.00,18.00,28.00

2024_07_10 - 02:34:38 AM,27.12,46.54,885.68,627.89,8.29,14.00,22.00,32.00

2024_07_10 - 02:35:38 AM,27.02,46.76,885.70,624.20,8.26,6.00,18.00,28.00

2024_07_10 - 02:36:39 AM,27.02,46.76,885.70,624.20,8.26,6.00,18.00,28.00

2024_07_10 - 02:37:37 AM,26.96,47.01,885.69,628.31,8.24,10.00,18.00,28.00

2024_07_10 - 02:38:39 AM,26.91,46.97,885.66,628.27,8.18,4.00,24.00,34.00

2024_07_10 - 02:39:39 AM,27.13,46.60,885.67,631.04,8.05,14.00,20.00,30.00

2024_07_10 - 02:40:39 AM,27.01,46.87,885.65,627.02,7.88,8.00,16.00,26.00

