Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_06 - 04:11:07 PM, 26.06, 29.45, 888.74, 600.69, 0.56, 2.00, 8.00, 18.00
2024_07_06 - 04:12:07 PM, 26.23, 29.69, 888.73, 609.27, 0.57, 2.00, 10.00, 22.00
2024_07_06 - 04:13:07 PM, 26.15, 29.27, 888.74, 1099.24, 0.59, 0.00, 8.00, 18.00
2024_07_06 - 04:14:08 PM, 26.30, 29.48, 888.75, 984.03, 0.62, 2.00, 8.00, 20.00
2024_07_06 - 04:15:08 PM, 26.37, 29.26, 888.75, 808.15, 0.63, 2.00, 8.00, 18.00
2024_07_06 - 04:16:09 PM, 26.32, 29.32, 888.77, 661.01, 0.65, 0.00, 6.00, 18.00
2024_07_06 - 04:17:09 PM, 26.37, 29.41, 888.76, 638.23, 0.68, 4.00, 12.00, 24.00
2024_07_06 - 04:18:10 PM, 26.06, 29.29, 888.78, 2416.90, 0.69, 4.00, 12.00, 22.00
2024_07_06 - 04:19:10 PM, 26.06, 29.29, 888.76, 2416.90, 0.67, 2.00, 8.00, 20.00
2024_07_06 - 04:20:10 PM, 26.13, 29.46, 888.78, 1123.67, 0.68, 0.00, 6.00, 16.00
2024_07_06 - 04:21:11 PM, 26.29, 29.95, 888.76, 744.48, 0.69, 2.00, 10.00, 30.00
2024_07_06 - 04:22:11 PM, 26.34, 29.50, 888.76, 625.62, 0.73, 0.00, 8.00, 18.00
2024_07_06 - 04:23:12 PM, 26.30, 29.20, 888.74, 599.22, 0.72, 2.00, 12.00, 22.00
2024_07_06 - 04:24:12 PM, 26.17, 29.15, 888.76, 607.11, 0.71, 2.00, 10.00, 20.00
2024_07_06 - 04:25:13 PM, 25.99, 29.58, 888.78, 2311.56, 0.71, 2.00, 8.00, 20.00
2024_07_06 - 04:26:13 PM, 25.77, 29.80, 888.75, 1146.88, 0.70, 0.00, 6.00, 18.00
2024_07_06 - 04:27:14 PM, 25.71, 30.34, 888.76, 554.02, 0.73, 2.00, 10.00, 20.00
2024_07_06 - 04:28:14 PM, 25.92, 29.88, 888.76, 591.93, 0.72, 0.00, 6.00, 18.00
2024_07_06 - 04:29:20 PM, 25.92, 29.88, 888.77, 591.93, 0.71, 2.00, 10.00, 20.00
2024_07_06 - 04:30:15 PM, 25.95, 29.58, 888.76, 581.04, 0.71, 2.00, 8.00, 18.00
2024_07_06 - 04:31:15 PM, 26.08, 30.23, 888.79, 614.32, 0.72, 2.00, 8.00, 18.00
2024_07_06 - 04:32:16 PM, 25.87, 29.66, 888.78, 484.53, 0.70, 0.00, 8.00, 20.00
2024_07_06 - 04:33:16 PM, 25.89, 30.45, 888.76, 547.51, 0.72, 2.00, 8.00, 20.00
2024_07_06 - 04:34:17 PM, 26.00, 30.32, 888.80, 649.30, 0.75, 0.00, 8.00, 18.00
2024_07_06 - 04:35:17 PM, 26.15, 30.47, 888.83, 674.51, 0.79, 2.00, 8.00, 20.00
2024_07_06 - 05:41:46 PM, 26.15, 30.32, 888.87, 587.59, 1.46, 2.00, 8.00, 20.00
2024_07_06 - 05:42:46 PM, 26.05, 30.35, 888.87, 583.53, 1.46, 2.00, 10.00, 20.00
2024_07_06 - 05:43:46 PM, 26.15, 30.44, 888.90, 591.19, 1.41, 4.00, 10.00, 20.00
2024_07_06 - 05:44:47 PM, 26.15, 30.44, 888.88, 591.19, 1.36, 2.00, 12.00, 22.00
2024_07_06 - 05:45:47 PM, 26.00, 30.48, 888.85, 591.25, 1.31, 2.00, 8.00, 20.00
2024_07_06 - 05:46:48 PM, 26.22, 30.91, 888.86, 594.95, 1.26, 2.00, 10.00, 20.00
2024_07_06 - 05:47:48 PM, 26.26, 31.04, 888.94, 609.91, 1.22, 2.00, 10.00, 20.00
2024_07_06 - 05:48:49 PM, 26.12, 30.44, 888.89, 597.84, 1.16, 2.00, 10.00, 22.00
2024_07_06 - 05:49:49 PM, 26.20, 30.42, 888.88, 602.83, 1.16, 0.00, 10.00, 20.00
2024_07_06 - 05:50:49 PM, 26.33, 30.75, 888.88, 611.36, 1.17, 0.00, 6.00, 18.00
2024_07_06 - 05:51:50 PM, 26.23, 30.83, 888.88, 624.94, 1.13, 0.00, 8.00, 20.00
2024_07_06 - 05:52:50 PM, 26.12, 30.63, 888.85, 625.70, 1.11, 2.00, 14.00, 24.00
2024_07_06 - 05:53:51 PM, 26.27, 30.40, 888.94, 623.44, 1.03, 2.00, 10.00, 20.00
2024_07_06 - 05:54:51 PM, 26.39, 30.49, 888.97, 609.69, 0.94, 4.00, 12.00, 22.00
2024_07_06 - 05:55:52 PM, 26.39, 30.49, 888.91, 609.69, 0.88, 0.00, 10.00, 22.00
2024_07_06 - 05:56:52 PM, 26.43, 30.47, 888.93, 609.32, 0.88, 4.00, 12.00, 22.00
2024_07_06 - 05:57:52 PM, 26.41, 30.56, 889.00, 607.04, 0.85, 2.00, 8.00, 18.00
2024_07_06 - 05:58:53 PM, 26.51, 29.97, 888.98, 607.79, 0.79, 6.00, 12.00, 22.00
2024_07_06 - 05:59:53 PM, 26.58, 30.07, 889.02, 610.18, 0.77, 2.00, 12.00, 22.00
2024_07_06 - 06:00:54 PM, 26.55, 30.08, 888.99, 609.53, 0.74, 2.00, 8.00, 18.00
2024_07_06 - 06:01:54 PM, 26.60, 29.77, 888.96, 608.48, 0.71, 4.00, 10.00, 22.00
